"sect","title","authors","views","issue","year","page_order"
"Applications and Case Studies","Comment","Thomas Lemieux",123,512,2015,4
"Applications and Case Studies","Rejoinder","Joshua D. Angrist#Miikka Rokkanen",122,512,2015,5
"Applications and Case Studies","Bayesian Partition Models for Identifying Expression Quantitative Trait Loci","Bo Jiang#Jun S. Liu",446,512,2015,6
"Applications and Case Studies","Bayesian Phylogenetic Inference Using a Combinatorial Sequential Monte Carlo Method","Liangliang Wang#Alexandre Bouchard-Côté#Arnaud Doucet",464,512,2015,7
"Applications and Case Studies","Temporal Autocorrelation-Based Beamforming With MEG Neuroimaging Data","Jian Zhang#Li Su",945,512,2015,8
"Applications and Case Studies","Some Counterclaims Undermine Themselves in Observational Studies","Paul R. Rosenbaum",409,512,2015,9
"Applications and Case Studies","Randomized Controlled Field Trials of Predictive Policing","G. O. Mohler#M. B. Short#Sean Malinowski#Mark Johnson#G. E. Tita#Andrea L. Bertozzi#P. J. Brantingham",1289,512,2015,10
"Applications and Case Studies","Rerandomization to Balance Tiers of Covariates","Kari Lock Morgan#Donald B. Rubin",301,512,2015,11
"Theory and Methods","An Adaptive Resampling Test for Detecting the Presence of Significant Predictors","Ian W. McKeague#Min Qian",710,512,2015,12
"Theory and Methods","Comment","A. Chatterjee#S. N. Lahiri",148,512,2015,13
"Theory and Methods","Comment","Rajen D. Shah#Richard J. Samworth",288,512,2015,14
"Theory and Methods","Comment","Emre Barut#Huixia Judy Wang",103,512,2015,15
"Theory and Methods","Comment","Lawrence D. Brown#Daniel McCarthy",157,512,2015,16
"Theory and Methods","Comment","Alexandre Belloni#Victor Chernozhukov",126,512,2015,17
"Theory and Methods","Comment","Yichi Zhang#Eric B. Laber",109,512,2015,18
"Theory and Methods","Comment","Sai Li#Ritwik Mitra#Cun-Hui Zhang",127,512,2015,19
"Theory and Methods","Comment","Hannes Leeb",129,512,2015,20
"Theory and Methods","Rejoinder","Ian W. McKeague#Min Qian",167,512,2015,21
"Theory and Methods","A Simple Formula for Mixing Estimators With Different Convergence Rates","Stephen S. M. Lee#Mehdi Soleymani",344,512,2015,22
"Theory and Methods","Dirichlet–Laplace Priors for Optimal Shrinkage","Anirban Bhattacharya#Debdeep Pati#Natesh S. Pillai#David B. Dunson",567,512,2015,23
"Theory and Methods","Exact Optimal Confidence Intervals for Hypergeometric Parameters","Weizhen Wang",313,512,2015,24
"Theory and Methods","Bayesian Compressed Regression","Rajarshi Guhaniyogi#David B. Dunson",561,512,2015,25
"Theory and Methods","Groupwise Dimension Reduction via Envelope Method","Zifang Guo#Lexin Li#Wenbin Lu#Bing Li",472,512,2015,26
"Theory and Methods","Uniformly Semiparametric Efficient Estimation of Treatment Effects With a Continuous Treatment","Antonio F. Galvao#Liang Wang",352,512,2015,27
"Theory and Methods","A Cluster-Based Outlier Detection Scheme for Multivariate Data","J. Marcus Jobe#Michael Pokojovy",390,512,2015,28
"Theory and Methods","Plausibility Functions and Exact Frequentist Inference","Ryan Martin",282,512,2015,29
"Theory and Methods","Bayesian Factorizations of Big Sparse Tensors","Jing Zhou#Anirban Bhattacharya#Amy H. Herring#David B. Dunson",445,512,2015,30
"Theory and Methods","Semiparametric Pseudo-Likelihoods in Generalized Linear Models With Nonignorable Missing Data","Jiwei Zhao#Jun Shao",530,512,2015,31
"Theory and Methods","Robust Filtering","Laurent E. Calvet#Veronika Czellar#Elvezio Ronchetti",387,512,2015,32
"Theory and Methods","High-Dimensional Variable Selection With Reciprocal L1-Regularization","Qifan Song#Faming Liang",876,512,2015,33
"Theory and Methods","Marginal Inferential Models: Prior-Free Probabilistic Inference on Interest Parameters","Ryan Martin#Chuanhai Liu",244,512,2015,34
"Theory and Methods","Testing the Number of Components in Normal Mixture Regression Models","Hiroyuki Kasahara#Katsumi Shimotsu",462,512,2015,35
"Theory and Methods","Latent Space Models for Dynamic Networks","Daniel K. Sewell#Yuguo Chen",799,512,2015,36
"Theory and Methods","A High-Dimensional Nonparametric Multivariate Test for Mean Vector","Lan Wang#Bo Peng#Runze Li",586,512,2015,37
"Theory and Methods","Smoothed and Corrected Score Approach to Censored Quantile Regression With Measurement Errors","Yuanshan Wu#Yanyuan Ma#Guosheng Yin",337,512,2015,38
"Theory and Methods","Latent Surface Models for Networks Using Aggregated Relational Data","Tyler H. McCormick#Tian Zheng",266,512,2015,39
"Theory and Methods","Sequentially Refined Latin Hypercube Designs: Reusing Every Point","Jin Xu#Jiajie Chen#Peter Z. G. Qian",199,512,2015,40
"Theory and Methods","A Permutation Approach to Testing Interactions for Binary Response by Comparing Correlations Between Classes","Noah Simon#Robert Tibshirani",351,512,2015,41
"Theory and Methods","On Asymptotic Distributions and Confidence Intervals for LIFT Measures in Data Mining","Wenxin Jiang#Yu Zhao",127,512,2015,42
"Theory and Methods","Conditional Distance Correlation","Xueqin Wang#Wenliang Pan#Wenhao Hu#Yuan Tian#Heping Zhang",684,512,2015,43
"Theory and Methods","Small Area Estimation With Uncertain Random Effects","Gauri Sankar Datta#Abhyuday Mandal",255,512,2015,44
"Theory and Methods","Treatment Effects With Censoring and Endogeneity","Brigham R. Frandsen",314,512,2015,45
"Theory and Methods","Optimal Data-Driven Regression Discontinuity Plots","Sebastian Calonico#Matias D. Cattaneo#Rocío Titiunik",328,512,2015,46
"Theory and Methods","Reinforcement Learning Trees","Ruoqing Zhu#Donglin Zeng#Michael R. Kosorok",425,512,2015,47
"Theory and Methods","Nonparametric and Parametric Estimators of Prevalence From Group Testing Data With Aggregated Covariates","Aurore Delaigle#Wen-Xin Zhou",211,512,2015,48
"Review","Self-Normalization for Time Series: A Review of Recent Developments","Xiaofeng Shao",339,512,2015,49
"General","Book Reviews","",171,512,2015,50
"General","Editorial Collaborators","",85,512,2015,51
"Index","Editorial Board EOV","",67,512,2015,52
"Applications and Case Studies","Semiparametric Bayesian Density Estimation With Disparate Data Sources: A Meta-Analysis of Global Childhood Undernutrition","Mariel M. Finucane#Christopher J. Paciorek#Gretchen A. Stevens#Majid Ezzati",683,511,2015,1
"Applications and Case Studies","Comment","Christopher K. Wikle#Scott H. Holan",164,511,2015,2
"Applications and Case Studies","Comment","Jim Hodges",108,511,2015,3
"Applications and Case Studies","Rejoinder","Mariel M. Finucane#Christopher J. Paciorek#Gretchen A. Stevens#Majid Ezzati",119,511,2015,4
"Applications and Case Studies","Stable Weights that Balance Covariates for Estimation With Incomplete Outcome Data","José R. Zubizarreta",421,511,2015,5
"Applications and Case Studies","An Integrated Bayesian Nonparametric Approach for Stochastic and Variability Orders in ROC Curve Estimation: An Application to Endometriosis Diagnosis","Beom Seuk Hwang#Zhen Chen",318,511,2015,6
"Applications and Case Studies","The Role of CPS Nonresponse in the Measurement of Poverty","Charles Hokayem#Christopher Bollinger#James P. Ziliak",250,511,2015,7
"Applications and Case Studies","Clustering High-Dimensional Landmark-Based Two-Dimensional Shape Data","Chao Huang#Martin Styner#Hongtu Zhu",398,511,2015,8
"Applications and Case Studies","Proper Use of Allele-Specific Expression Improves Statistical Power for cis-eQTL Mapping with RNA-Seq Data","Yi-Juan Hu#Wei Sun#Jung-Ying Tzeng#Charles M. Perou",420,511,2015,9
"Applications and Case Studies","IsoDOT Detects Differential RNA-Isoform Expression/Usage With Respect to a Categorical or Continuous Covariate With High Sensitivity and Specificity","Wei Sun#Yufeng Liu#James J. Crowley#Ting-Huei Chen#Hua Zhou#Haitao Chu#Shunping Huang#Pei-Fen Kuan#Yuan Li#Darla Miller#Ginger Shaw#Yichao Wu#Vasyl Zhabotynsky#Leonard McMillan#Fei Zou#Patrick F. Sullivan#Fernando Pardo-Manuel De Villena",173,511,2015,10
"Applications and Case Studies","Simultaneous Edit-Imputation for Continuous Microdata","Hang J. Kim#Lawrence H. Cox#Alan F. Karr#Jerome P. Reiter#Quanli Wang",202,511,2015,11
"Applications and Case Studies","Smoothed Lexis Diagrams With Applications to Lung and Breast Cancer Trends in Taiwan","Li-Chu Chien#Yuh-Jenn Wu#Chao A. Hsiung#Lu-Hai Wang#I-Shou Chang",180,511,2015,12
"Theory and Methods","Robust Estimation of Inverse Probability Weights for Marginal Structural Models","Kosuke Imai#Marc Ratkovic",560,511,2015,13
"Theory and Methods","Bias-Reduced Doubly Robust Estimation","Karel Vermeulen#Stijn Vansteelandt",792,511,2015,14
"Theory and Methods","Testing for Nodal Dependence in Relational Data Matrices","Alexander Volfovsky#Peter D. Hoff",245,511,2015,15
"Theory and Methods","Testing and Modeling Dependencies Between a Network and Nodal Attributes","Bailey K. Fosdick#Peter D. Hoff",408,511,2015,16
"Theory and Methods","Blood Flow Velocity Field Estimation Via Spatial Regression With PDE Penalization","Laura Azzimonti#Laura M. Sangalli#Piercesare Secchi#Maurizio Domanin#Fabio Nobile",277,511,2015,17
"Theory and Methods","An Objective Approach to Prior Mass Functions for Discrete Parameter Spaces","C. Villa#S. G. Walker",223,511,2015,18
"Theory and Methods","Whittle Likelihood Estimation of Nonlinear Autoregressive Models With Moving Average Residuals","Tianhao Wang#Yingcun Xia",267,511,2015,19
"Theory and Methods","S-Estimators for Functional Principal Component Analysis","Graciela Boente#Matías Salibian-Barrera",393,511,2015,20
"Theory and Methods","Convergence Properties of a Sequential Regression Multiple Imputation Algorithm","Jian Zhu#Trivellore E. Raghunathan",273,511,2015,21
"Theory and Methods","Likelihood Inferences on Semiparametric Odds Ratio Model","Hua Yun Chen#Daniel E. Rader#Mingyao Li",404,511,2015,22
"Theory and Methods","The E-MS Algorithm: Model Selection With Incomplete Data","Jiming Jiang#Thuan Nguyen#J. Sunil Rao",512,511,2015,23
"Theory and Methods","Regression Analysis of Additive Hazards Model With Latent Variables","Deng Pan#Haijin He#Xinyuan Song#Liuquan Sun",442,511,2015,24
"Theory and Methods","Bandwidth Selection for High-Dimensional Covariance Matrix Estimation","Yumou Qiu#Song Xi Chen",487,511,2015,25
"Theory and Methods","Estimation of Multiple-Regime Threshold Autoregressive Models With Structural Breaks","Chun Yip Yau#Chong Man Tang#Thomas C. M. Lee",335,511,2015,26
"Theory and Methods","Analysis of the Proportional Hazards Model With Sparse Longitudinal Covariates","Hongyuan Cao#Mathew M. Churpek#Donglin Zeng#Jason P. Fine",310,511,2015,27
"Theory and Methods","Detection of Changes in Multivariate Time Series With Application to EEG Data","Claudia Kirch#Birte Muhsal#Hernando Ombao",447,511,2015,28
"Theory and Methods","The Empirical Distribution of a Large Number of Correlated Normal Variables","David Azriel#Armin Schwartzman",347,511,2015,29
"Theory and Methods","Likelihood Estimation for the INAR(p) Model by Saddlepoint Approximation","Xanthi Pedeli#Anthony C. Davison#Konstantinos Fokianos",245,511,2015,30
"Theory and Methods","Tracking Cross-Validated Estimates of Prediction Error as Studies Accumulate","Lo-Bin Chang#Donald Geman",159,511,2015,31
"Theory and Methods","An Equivalent Measure of Partial Correlation Coefficients for High-Dimensional Gaussian Graphical Models","Faming Liang#Qifan Song#Peihua Qiu",521,511,2015,32
"Theory and Methods","Localized Functional Principal Component Analysis","Kehui Chen#Jing Lei",370,511,2015,33
"Theory and Methods","A Regression Framework for Rank Tests Based on the Probabilistic Index Model","Jan De Neve#Olivier Thas",256,511,2015,34
"Theory and Methods","Model Estimation, Prediction, and Signal Extraction for Nonstationary Stock and Flow Time Series Observed at Mixed Frequencies","Tucker McElroy#Brian Monsell",202,511,2015,35
"Review","Design and Analysis of the Randomized Response Technique","Graeme Blair#Kosuke Imai#Yang-Yang Zhou",293,511,2015,36
"General","Book Reviews","",211,511,2015,37
"Applications and Case Studies","False Discovery Rate Regression: An Application to Neural Synchrony Detection in Primary Visual Cortex","James G. Scott#Ryan C. Kelly#Matthew A. Smith#Pengcheng Zhou#Robert E. Kass",1016,510,2015,1
"Applications and Case Studies","Analysis of Longitudinal Multivariate Outcome Data From Couples Cohort Studies: Application to HPV Transmission Dynamics","Xiangrong Kong#Mei-Cheng Wang#Ronald Gray",625,510,2015,2
"Applications and Case Studies","Survival Analysis of Loblolly Pine Trees With Spatially Correlated Random Effects","Jie Li#Yili Hong#Ram Thapa#Harold E. Burkhart",590,510,2015,3
"Applications and Case Studies","MAD Bayes for Tumor Heterogeneity—Feature Allocation With Exponential Family Sampling","Yanxun Xu#Peter Müller#Yuan Yuan#Kamalakar Gulukota#Yuan Ji",378,510,2015,4
"Applications and Case Studies","Large, Sparse Optimal Matching With Refined Covariate Balance in an Observational Study of the Health Outcomes Produced by New Surgeons","Samuel D. Pimentel#Rachel R. Kelz#Jeffrey H. Silber#Paul R. Rosenbaum",950,510,2015,5
"Applications and Case Studies","Bayesian Inference for Multivariate Meta-Regression With a Partially Observed Within-Study Sample Covariance Matrix","Hui Yao#Sungduk Kim#Ming-Hui Chen#Joseph G. Ibrahim#Arvind K. Shah#Jianxin Lin",398,510,2015,6
"Applications and Case Studies","Unifying Amplitude and Phase Analysis: A Compositional Data Approach to Functional Multivariate Mixed-Effects Modeling of Mandarin Chinese","P. Z. Hadjipantelis#J. A. D. Aston#H. G. Müller#J. P. Evans",914,510,2015,7
"Applications and Case Studies","Analysis of Sequence Data Under Multivariate Trait-Dependent Sampling","Ran Tao#Donglin Zeng#Nora Franceschini#Kari E. North#Eric Boerwinkle#Dan-Yu Lin",445,510,2015,8
"Applications and Case Studies","Joint Bayesian Modeling of Binomial and Rank Data for Primate Cognition","Bradley J. Barney#Federica Amici#Filippo Aureli#Josep Call#Valen E. Johnson",346,510,2015,9
"Theory and Methods","New Statistical Learning Methods for Estimating Optimal Dynamic Treatment Regimes","Ying-Qi Zhao#Donglin Zeng#Eric B. Laber#Michael R. Kosorok",1024,510,2015,10
"Theory and Methods","Foundations for Envelope Models and Methods","R. Dennis Cook#Xin Zhang",683,510,2015,11
"Theory and Methods","Post-Fisherian Experimentation: From Physical to Virtual","C. F. Jeff Wu",477,510,2015,12
"Theory and Methods","Semiparametric Accelerated Failure Time Modeling for Clustered Failure Times From Stratified Sampling","Sy Han Chiou#Sangwook Kang#Jun Yan",415,510,2015,13
"Theory and Methods","Model-Free Feature Screening for Ultrahigh Dimensional Discriminant Analysis","Hengjian Cui#Runze Li#Wei Zhong",823,510,2015,14
"Theory and Methods","Nonparametric K-Sample Tests via Dynamic Slicing","Bo Jiang#Chao Ye#Jun S. Liu",566,510,2015,15
"Theory and Methods","Detection of Multiple Structural Breaks in Multivariate Time Series","Philip Preuss#Ruprecht Puchstein#Holger Dette",615,510,2015,16
"Theory and Methods","Testing Hypotheses of Covariate-Adaptive Randomized Clinical Trials","Wei Ma#Feifang Hu#Lixin Zhang",449,510,2015,17
"Theory and Methods","Functional and Structural Methods With Mixed Measurement Error and Misclassification in Covariates","Grace Y. Yi#Yanyuan Ma#Donna Spiegelman#Raymond J. Carroll",409,510,2015,18
"Theory and Methods","Objective Bayesian Survival Analysis Using Shape Mixtures of Log-Normal Distributions","Catalina A. Vallejos#Mark F. J. Steel",387,510,2015,19
"Theory and Methods","Bayesian Dose-Finding in Two Treatment Cycles Based on the Joint Utility of Efficacy and Toxicity","Juhee Lee#Peter F. Thall#Yuan Ji#Peter Müller",296,510,2015,20
"Theory and Methods","Efficient Quantile Regression Analysis With Missing Observations","Xuerong Chen#Alan T. K. Wan#Yong Zhou",895,510,2015,21
"Theory and Methods","Matching a Distribution by Matching Quantiles Estimation","Nikolaos Sgouropoulos#Qiwei Yao#Claudia Yastremiz",1060,510,2015,22
"Theory and Methods","Generalized Fiducial Inference for Ultrahigh-Dimensional Regression","Randy C. S. Lai#Jan Hannig#Thomas C. M. Lee",280,510,2015,23
"Theory and Methods","An Improved Transformation-Based Kernel Estimator of Densities on the Unit Interval","Kuangyu Wen#Ximing Wu",291,510,2015,24
"Theory and Methods","LADE-Based Inference for ARMA Models With Unspecified and Heavy-Tailed Heteroscedastic Noises","Ke Zhu#Shiqing Ling",255,510,2015,25
"Theory and Methods","Scalable Bayesian Model Averaging Through Local Information Propagation","Li Ma",380,510,2015,26
"Theory and Methods","Clustering from Categorical Data Sequences","Harry Crane",514,510,2015,27
"Theory and Methods","Index Models for Sparsely Sampled Functional Data","Peter Radchenko#Xinghao Qiao#Gareth M. James",372,510,2015,28
"Theory and Methods","A Two-Sample Test for Equality of Means in High Dimension","Karl Bruce Gregory#Raymond J. Carroll#Veerabhadran Baladandayuthapani#Soumendra N. Lahiri",890,510,2015,29
"Theory and Methods","Statistical Analysis of Q-Matrix Based Diagnostic Classification Models","Yunxiao Chen#Jingchen Liu#Gongjun Xu#Zhiliang Ying",428,510,2015,30
"Theory and Methods","Likelihood Ratio Test for Multi-Sample Mixture Model and Its Application to Genetic Imprinting","Shaoting Li#Jiahua Chen#Jianhua Guo#Bing-Yi Jing#Shui-Ying Tsang#Hong Xue",419,510,2015,31
"Index","Book Reviews","",254,510,2015,32
"2014 ASA Presidential Address","Why Your Involvement Matters","Nathaniel Schenker",420,509,2015,1
"Original Articles","A Spatio-Temporal Point Process Model for Ambulance Demand","Zhengyi Zhou#David S. Matteson#Dawn B. Woodard#Shane G. Henderson#Athanasios C. Micheas",896,509,2015,2
"Original Articles","Risk-Adjusted Cumulative Sum Charting Procedure Based on Multiresponses","Xu Tang#Fah F. Gan#Lingyun Zhang",419,509,2015,3
"Original Articles","Estimating a Structured Covariance Matrix From Multilab Measurements in High-Throughput Biology","Alexander M. Franks#Gábor Csárdi#D. Allan Drummond#Edoardo M. Airoldi",603,509,2015,4
"Original Articles","A Flexible Bayesian Approach to Monotone Missing Data in Longitudinal Studies With Nonignorable Missingness With Application to an Acute Schizophrenia Clinical Trial","Antonio R. Linero#Michael J. Daniels",521,509,2015,5
"Original Articles","Power Curve Estimation With Multivariate Environmental Factors for Inland and Offshore Wind Farms","Giwhyun Lee#Yu Ding#Marc G. Genton#Le Xie",393,509,2015,6
"Original Articles","Calibration of Computational Models With Categorical Parameters and Correlated Outputs via Bayesian Smoothing Spline ANOVA","Curtis B. Storlie#William A. Lane#Emily M. Ryan#James R. Gattiker#David M. Higdon",293,509,2015,7
"Original Articles","What Happens Depends on When It Happens: Copula-Based Ordered Event History Analysis of Civil War Duration and Outcome","Kentaro Fukumoto",660,509,2015,8
"Original Articles","A Dynamic Directional Model for Effective Brain Connectivity Using Electrocorticographic (ECoG) Time Series","Tingting Zhang#Jingwei Wu#Fan Li#Brian Caffo#Dana Boatman-Reich",367,509,2015,9
"Original Articles","Simulating and Analyzing Order Book Data: The Queue-Reactive Model","Weibing Huang#Charles-Albert Lehalle#Mathieu Rosenbaum",331,509,2015,10
"Original Articles","An Analysis of an Incomplete Marked Point Pattern of Heat-Related 911 Calls","Matthew J. Heaton#Stephan R. Sain#Andrew J. Monaghan#Olga V. Wilhelmi#Mary H. Hayden",243,509,2015,11
"Original Articles","Robust Principal Component Analysis for Power Transformed Compositional Data","J. L. Scealy#Patrice de Caritat#Eric C. Grunsky#Michail T. Tsagris#A. H. Welsh",524,509,2015,12
"Original Articles","Multi-Agent Inference in Social Networks: A Finite Population Learning Approach","Jianqing Fan#Xin Tong#Yao Zeng",564,509,2015,13
"Original Articles","Bayesian Inference of Multiple Gaussian Graphical Models","Christine Peterson#Francesco C. Stingo#Marina Vannucci",879,509,2015,14
"Original Articles","Homogeneity Pursuit","Zheng Tracy Ke#Jianqing Fan#Yichao Wu",821,509,2015,15
"Original Articles","A Unifying Model for Capture–Recapture and Distance Sampling Surveys of Wildlife Populations","D. L. Borchers#B. C. Stevenson#D. Kidney#L. Thomas#T. A. Marques",1265,509,2015,16
"Original Articles","Bahadur Efficiency of Sensitivity Analyses in Observational Studies","Paul R. Rosenbaum",320,509,2015,17
"Original Articles","R-Estimation for Asymmetric Independent Component Analysis","Marc Hallin#Chintan Mehta",303,509,2015,18
"Original Articles","Model-Robust Designs for Quantile Regression","Linglong Kong#Douglas P. Wiens",379,509,2015,19
"Original Articles","Quantile Correlations and Quantile Autoregressive Modeling","Guodong Li#Yang Li#Chih-Ling Tsai",706,509,2015,20
"Original Articles","Tuning Parameter Selection for the Adaptive Lasso Using ERIC","Francis K. C. Hui#David I. Warton#Scott D. Foster",640,509,2015,21
"Original Articles","Regularization Methods for High-Dimensional Instrumental Variables Regression With an Application to Genetical Genomics","Wei Lin#Rui Feng#Hongzhe Li",968,509,2015,22
"Original Articles","SPReM: Sparse Projection Regression Model For High-Dimensional Linear Regression","Qiang Sun#Hongtu Zhu#Yufeng Liu#Joseph G. Ibrahim",491,509,2015,23
"Original Articles","Inference for Subgroup Analysis With a Structured Logistic-Normal Mixture Model","Juan Shen#Xuming He",775,509,2015,24
"Original Articles","Semiparametric Relative-Risk Regression for Infectious Disease Transmission Data","Eben Kenah",297,509,2015,25
"Original Articles","Multivariate Meta-Analysis of Heterogeneous Studies Using Only Summary Statistics: Efficiency and Robustness","Dungang Liu#Regina Y. Liu#Minge Xie",561,509,2015,26
"Original Articles","Varying Index Coefficient Models","Shujie Ma#Peter X.-K. Song",665,509,2015,27
"Original Articles","A Unified Family of Covariate-Adjusted Response-Adaptive Designs Based on Efficiency and Ethics","Jianhua Hu#Hongjian Zhu#Feifang Hu",245,509,2015,28
"Original Articles","Size and Shape Analysis of Error-Prone Shape Data","Jiejun Du#Ian L. Dryden#Xianzheng Huang",655,509,2015,29
"Original Articles","On the Prediction of Stationary Functional Time Series","Alexander Aue#Diogo Dubart Norinho#Siegfried Hörmann",484,509,2015,30
"Original Articles","Risk Classification With an Adaptive Naive Bayes Kernel Machine Model","Jessica Minnier#Ming Yuan#Jun S. Liu#Tianxi Cai",546,509,2015,31
"Original Articles","Bayesian Generalized Additive Models for Location, Scale, and Shape for Zero-Inflated and Overdispersed Count Data","Nadja Klein#Thomas Kneib#Stefan Lang",626,509,2015,32
"Original Articles","Sufficient Reductions in Regressions With Elliptically Contoured Inverse Predictors","Efstathia Bura#Liliana Forzani",201,509,2015,33
